Date,Stock_Return,Excess_Return,Mkt-RF,SMB,HML,RMW,CMA,Mom,RF
2023-11-22,0.003514457805361193,0.003314457805361193,0.004699999999999999,0.0019,-0.0004,-0.0037,0.0001,-0.0019,0.0002
2023-11-24,-0.007004137832597235,-0.007204137832597234,0.0011,0.0062,0.0018,-0.005,0.0024,-0.0031,0.0002
2023-11-27,-0.0009476484399898455,-0.0011476484399898456,-0.0023,-0.0013,-0.0009,0.0012,-0.0024,0.0077,0.0002
2023-11-28,0.0032141236548954843,0.0030141236548954843,0.0005,-0.003,0.0004,-0.0015,0.0001,-0.0058,0.0002
2023-11-29,-0.005409660798068705,-0.005609660798068705,0.0001,0.0058,0.0069,-0.0076,-0.0004,-0.009300000000000001,0.0002
2023-11-30,0.003062783014632142,0.002862783014632142,0.0034999999999999996,-0.0042,0.0001,-0.0013,0.0018,0.0016,0.0002
2023-12-01,0.006791247541188428,0.006591247541188428,0.008100000000000001,0.0223,0.010700000000000001,-0.0036,0.005699999999999999,-0.016,0.0002
2023-12-04,-0.009464836752463013,-0.009664836752463013,-0.0044,0.0149,0.0051,-0.0042,0.0076,-0.0070999999999999995,0.0002
2023-12-05,0.021063514965244057,0.020863514965244058,-0.0021,-0.0106,-0.0083,0.002,-0.0043,0.0123,0.0002
2023-12-06,-0.00568724125719311,-0.005887241257193109,-0.004,0.0036,0.0032,-0.0023,0.0025,-0.0137,0.0002
2023-12-07,0.010139437035057375,0.009939437035057374,0.008100000000000001,0.001,0.004699999999999999,0.0008,-0.002,-0.0009,0.0002
2023-12-08,0.007412272329655245,0.007212272329655245,0.0044,0.0014000000000000002,0.0052,-0.0012,-0.0013,0.0060999999999999995,0.0002
2023-12-11,-0.012927213477926913,-0.013127213477926914,0.0036,-0.0043,-0.0012,0.0003,0.0067,-0.0008,0.0002
2023-12-12,0.007920126353610168,0.007720126353610169,0.0034000000000000002,-0.0064,-0.0088,-0.0038,-0.0022,0.006,0.0002
2023-12-13,0.016691364942367004,0.016491364942367005,0.0154,0.019299999999999998,0.013500000000000002,-0.0095,0.0015,-0.0208,0.0002
2023-12-14,0.0007578852956131588,0.0005578852956131588,0.005,0.0183,0.0203,0.0005,0.0042,-0.0161,0.0002
2023-12-15,-0.002725821876537027,-0.002925821876537027,-0.0006,-0.0059,-0.005699999999999999,0.0011,-0.0034999999999999996,0.0092,0.0002
2023-12-18,-0.008503287955207606,-0.008703287955207606,0.0042,-0.0052,-0.0036,0.0034000000000000002,-0.0025,0.0102,0.0002
2023-12-19,0.005359995755020774,0.005159995755020775,0.0072,0.015,0.0069,-0.0038,0.0006,-0.005,0.0002
2023-12-20,-0.01071373590613156,-0.010913735906131561,-0.0155,-0.0034000000000000002,0.0013,0.0075,0.0006,0.0059,0.0002
2023-12-21,-0.0007699815483470651,-0.0009699815483470651,0.0109,0.0075,-0.0004,-0.006,-0.0018,-0.0021,0.0002
2023-12-22,-0.005547456837136422,-0.0057474568371364216,0.002,0.0060999999999999995,0.001,-0.0064,0.002,-0.0048,0.0002
2023-12-26,-0.002841096294759815,-0.003041096294759815,0.0048,0.008199999999999999,0.0044,-0.0032,-0.0015,-0.0021,0.0002
2023-12-27,0.0005181074804208041,0.00031810748042080414,0.0016,0.0016,0.0011,-0.0032,-0.0013,0.0011,0.0002
2023-12-28,0.0022260847815331886,0.0020260847815331885,-0.0001,-0.0038,0.0004,-0.0032,0.0016,-0.004699999999999999,0.0002
2023-12-29,-0.005423957837667692,-0.005623957837667692,-0.0043,-0.0113,-0.0037,0.0067,-0.0008,0.0008,0.0002
2024-01-02,-0.03578644388949814,-0.03598644388949814,-0.006999999999999999,-0.0026,0.0078000000000000005,0.0067,0.0063,-0.021099999999999997,0.0002
2024-01-03,-0.007487873108251497,-0.007687873108251497,-0.0101,-0.0192,-0.0011,0.0036,-0.0018,0.0059,0.0002
2024-01-04,-0.012700125662565953,-0.012900125662565954,-0.0033,0.0024,0.0009,-0.0043,0.0024,-0.003,0.0002
2024-01-05,-0.00401296987789157,-0.00421296987789157,0.0015,-0.006,0.0063,0.0009,-0.0017000000000000001,-0.0025,0.0002
2024-01-08,0.024175002631961373,0.023975002631961374,0.0149,0.0055000000000000005,-0.0127,-0.0098,-0.0044,0.009000000000000001,0.0002
2024-01-09,-0.002263536208713779,-0.002463536208713779,-0.0021,-0.0075,-0.0089,-0.0031,-0.0017000000000000001,0.0098,0.0002
2024-01-10,0.005671386593290473,0.005471386593290473,0.0051,-0.003,-0.0044,0.0024,-0.0019,0.0095,0.0002
2024-01-11,-0.003222599155748518,-0.003422599155748518,-0.0014000000000000002,-0.0066,-0.0052,0.0045000000000000005,-0.0013,0.0098,0.0002
2024-01-12,0.001778163993040538,0.0015781639930405379,-0.0001,-0.0022,-0.0049,0.0011,-0.0025,0.0064,0.0002
2024-01-16,-0.01231706006150346,-0.01251706006150346,-0.004699999999999999,-0.0088,-0.0060999999999999995,0.0016,-0.0026,0.011399999999999999,0.0002
2024-01-17,-0.005173589134882417,-0.005373589134882417,-0.0059,-0.0016,-0.0025,0.0026,-0.0024,0.0059,0.0002
2024-01-18,0.03257066292500954,0.03237066292500954,0.0087,-0.0027,-0.0034999999999999996,0.006999999999999999,-0.0019,0.009300000000000001,0.0002
2024-01-19,0.015533084525156005,0.015333084525156004,0.011899999999999999,-0.0038,0.0067,-0.0003,-0.0023,0.0084,0.0002
2024-01-22,0.012163238090554085,0.011963238090554084,0.0038,0.0183,0.0058,-0.0044,0.0011,-0.0002,0.0002
2024-01-23,0.006653244885740595,0.006453244885740595,0.0022,-0.0069,-0.0055000000000000005,-0.0015,0.0022,-0.0063,0.0002
2024-01-24,-0.003483907531442565,-0.003683907531442565,-0.0001,-0.0078000000000000005,0.0005,0.0026,-0.0038,0.005699999999999999,0.0002
2024-01-25,-0.0016966272327491039,-0.001896627232749104,0.0046,0.002,0.005699999999999999,-0.0018,0.0055000000000000005,-0.0027,0.0002
2024-01-26,-0.009012672275704126,-0.009212672275704126,-0.0002,0.0034999999999999996,-0.0027,0.002,-0.0002,-0.0012,0.0002
2024-01-29,-0.0035858913895905342,-0.0037858913895905343,0.0085,0.0089,-0.0059,-0.011000000000000001,-0.0032,0.0033,0.0002
2024-01-30,-0.019245806687405276,-0.019445806687405275,-0.0012,-0.0097,0.0085,0.0096,0.0013,0.0046,0.0002
2024-01-31,-0.019357602712058664,-0.019557602712058662,-0.0174,-0.0089,-0.0029,-0.0021,0.0034999999999999996,-0.0039000000000000003,0.0002
2024-02-01,0.01334050294490119,0.013140502944901189,0.012199999999999999,0.0033,-0.013500000000000002,-0.0006,-0.0028000000000000004,0.0032,0.0002
2024-02-02,-0.005405025194742286,-0.005605025194742285,0.009899999999999999,-0.015700000000000002,-0.0051,-0.0017000000000000001,-0.013999999999999999,0.0166,0.0002
2024-02-05,0.009846538270943395,0.009646538270943394,-0.0042,-0.009399999999999999,-0.0066,0.0008,-0.0014000000000000002,0.0124,0.0002
2024-02-06,0.008631833311827375,0.008431833311827374,0.0027,0.0076,-0.004699999999999999,-0.0072,0.0058,-0.0144,0.0002
2024-02-07,0.0005811591673636762,0.00038115916736367625,0.0077,-0.0103,-0.0060999999999999995,0.0063,-0.008199999999999999,0.0091,0.0002
2024-02-08,-0.005754887895638383,-0.005954887895638383,0.0021,0.0141,0.0001,-0.0053,-0.002,-0.0004,0.0002
2024-02-09,0.004094041492038958,0.0038940414920389578,0.006500000000000001,0.0084,-0.0042,-0.0033,-0.0042,0.0088,0.0002
2024-02-12,-0.009001793268891056,-0.009201793268891057,0.0004,0.0165,0.0111,-0.0004,0.0045000000000000005,-0.013999999999999999,0.0002
2024-02-13,-0.011274400393775696,-0.011474400393775697,-0.016,-0.0254,-0.006500000000000001,0.0075,-0.0006,0.0116,0.0002
2024-02-14,-0.004809850878700783,-0.005009850878700783,0.011399999999999999,0.0137,-0.0022,-0.015600000000000001,-0.0018,0.0,0.0002
2024-02-15,-0.0015747626526944059,-0.001774762652694406,0.0067,0.0123,0.0104,-0.0021,0.0028000000000000004,-0.0124,0.0002
2024-02-16,-0.008430214437560202,-0.008630214437560202,-0.0053,-0.0066,-0.0017000000000000001,0.0006,0.0019,0.0006,0.0002
2024-02-20,-0.004113961027066293,-0.004313961027066293,-0.0073,-0.0070999999999999995,0.0033,0.0039000000000000003,0.0051,-0.0043,0.0002
2024-02-21,0.004185839053898022,0.003985839053898022,-0.0002,-0.0066,0.0014000000000000002,0.0087,0.002,-0.0031,0.0002
